year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,236.0,132.0,nan,2.0,nan,nan,nan,nan,nan
2002,238.0,132.0,nan,2.0,nan,nan,nan,nan,nan
2003,240.0,135.0,nan,2.0,nan,nan,nan,nan,nan
2004,242.0,135.0,nan,2.0,nan,nan,nan,nan,nan
2005,243.0,138.0,74,2.0,nan,nan,nan,nan,nan
2006,243.0,138.0,84,2.0,nan,nan,nan,nan,nan
2007,255.0,141.0,85,2.0,15,129,45,nan,nan
2008,269.0,144.0,86,2.0,15,138,45,nan,nan
2009,282.0,144.0,86,2.0,12,135,51,nan,nan
2010,297.0,147.0,88,2.0,12,141,54,nan,nan
2011,312.0,147.0,88,2.0,9,138,54,nan,nan
2012,335.0,150.0,88,2.0,9,141,57,nan,nan
2013,355.0,150.0,88,2.0,9,138,57,nan,nan
2014,372.0,153.0,88,2.0,9,141,57,nan,nan
2015,387.0,156.0,87,2.0,9,141,57,35712.0,24324
2016,397.0,156.0,87,2.0,9,138,60,40011,27630
2017,408.0,159.0,87,2.0,9,138,60,43551,30129
2018,418.0,168.0,87,2.0,9,138,63,46863,32178.0
2019,429.0,174.0,87,2.0,9,132,93,50475.0,35172.0
2020,439.0,180.0,87,3.0,9,132,93,52752.0,33771.0
2021,443.0,189.0,87,2.0,9,153,108,57900.0,39141
