year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,381.0,483.0,nan,3.0,nan,nan,nan,nan,nan
2002,391.0,486.0,nan,3.0,nan,nan,nan,nan,nan
2003,396.0,486.0,nan,3.0,nan,nan,nan,nan,nan
2004,401.0,489.0,nan,3.0,nan,nan,nan,nan,nan
2005,409.0,495.0,42,3.0,nan,nan,nan,nan,nan
2006,412.0,498.0,47,3.0,nan,nan,nan,nan,nan
2007,413.0,498.0,47,3.0,105,42,63,nan,nan
2008,415.0,501.0,46,3.0,105,42,63,nan,nan
2009,416.0,504.0,46,3.0,105,45,66,nan,nan
2010,418.0,507.0,43,3.0,105,45,66,nan,nan
2011,424.0,513.0,43,2.0,93,45,66,nan,nan
2012,421.0,516.0,44,2.0,93,45,66,nan,nan
2013,418.0,519.0,46,2.0,90,45,69,nan,nan
2014,414.0,522.0,47,2.0,90,48,72,nan,nan
2015,411.0,528.0,45,2.0,78,60,69,16404.0,nan
2016,407.0,543.0,45,2.0,78,60,72,17985,nan
2017,404.0,549.0,46,2.0,78,63,72,19635,nan
2018,400.0,549.0,48,2.0,78,63,72,21216,nan
2019,396.0,546.0,49,2.0,78,27,57,22902.0,nan
2020,392.0,543.0,52,2.0,75,30,60,23871.0,nan
2021,387.0,543.0,52,2.0,42,36,87,26208.0,nan
