year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,3,nan,nan,nan,nan,nan
2002,nan,nan,nan,4,nan,nan,nan,nan,nan
2003,nan,nan,nan,nan,44,55,42,nan,nan
2004,nan,nan,nan,4,39,60,41,nan,nan
2005,nan,nan,nan,4,37,63,45,nan,nan
2006,nan,nan,59,4,35,68,45,nan,nan
2007,300,269,60,3,33,75,46,nan,nan
2008,302,269,60,3,30,81,46,nan,nan
2009,304,269,60,3,32,84,49,nan,nan
2010,307,270,62,3,32,88,54,nan,nan
2011,311,271,63,3,34,90,58,nan,nan
2012,313,272,64,2,26,96,69,nan,nan
2013,315,271,65,2,24,92,76,nan,nan
2014,317,272,67,2,24,91,77,nan,nan
2015,317,272,68,2,24,90,79,nan,nan
2016,318,272,69,2,23,89,81,nan,nan
2017,318,272,71,2,22,88,84,nan,nan
2018,319,271,71,2,22,88,84,nan,nan
2019,320,271,78,2,22,85,88,nan,nan
2020,320,270,80,2,22,84,90,nan,nan
2021,321,65,80,2,20,79,100,nan,nan
