year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,459,nan,nan,nan,nan,nan,nan,nan,nan
2002,nan,nan,nan,nan,nan,nan,nan,nan,nan
2003,nan,nan,nan,5,65,79,75,nan,nan
2004,nan,nan,nan,5,58,90,76,nan,nan
2005,nan,nan,nan,4,53,97,78,nan,nan
2006,nan,nan,49,4,50,105,81,nan,nan
2007,446,459,50,3,47,112,84,nan,nan
2008,446,459,51,3,45,128,86,nan,nan
2009,447,460,53,3,43,136,94,nan,nan
2010,450,459,57,3,40,145,101,nan,nan
2011,446,459,58,2,39,152,107,nan,nan
2012,446,460,59,2,35,156,112,nan,nan
2013,447,458,60,2,53,121,92,nan,nan
2014,447,460,61,2,52,121,93,nan,nan
2015,448,461,63,2,51,118,97,nan,nan
2016,448,461,64,2,48,118,98,nan,nan
2017,449,462,66,2,46,116,101,nan,nan
2018,451,460,67,2,46,116,101,nan,nan
2019,453,459,69,2,39,120,107,nan,nan
2020,455,457,71,2,37,115,116,nan,nan
2021,456,455,71,2,41,103,128,nan,nan
