year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,3,nan,nan,nan,nan,nan
2002,nan,nan,nan,3,nan,nan,nan,nan,nan
2003,nan,nan,28,3,nan,nan,nan,nan,nan
2004,nan,nan,29,3,1,28,30,nan,nan
2005,nan,nan,38,3,1,30,30,nan,nan
2006,872,852,38,3,0,39,30,nan,nan
2007,877,855,43,3,1,39,30,nan,nan
2008,884,858,46,3,0,39,31,nan,nan
2009,890,861,47,3,0,37,31,nan,nan
2010,895,867,52,3,0,40,33,nan,nan
2011,909,873,52,3,0,38,35,nan,nan
2012,916,876,52,3,0,35,34,nan,nan
2013,922,876,52,3,0,48,35,nan,nan
2014,923,882,54,3,0,48,44,nan,nan
2015,925,888,56,3,0,45,41,27435,19323
2016,928,891,58,3,0,45,42,29742,20973
2017,936,900,60,3,0,44,42,32298,22581
2018,936,906,62,3,0,42,41,34899,24414
2019,937,912,62,3,0,42,45,37782,20574
2020,935,918,64,2,0,40,47,39306,26463
2021,939,918,65,2,0,39,49,42627,28497
