year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,276,nan,3,nan,nan,nan,nan,nan
2002,nan,276,nan,3,nan,nan,nan,nan,nan
2003,nan,276,28,4,nan,nan,nan,nan,nan
2004,nan,276,30,3,0,7,10,nan,nan
2005,nan,279,31,3,0,8,10,nan,nan
2006,270,279,33,3,0,8,10,nan,nan
2007,271,282,35,3,0,8,10,nan,nan
2008,272,282,35,3,0,8,10,nan,nan
2009,274,282,35,3,0,9,10,nan,nan
2010,276,285,35,3,0,9,10,nan,nan
2011,280,285,36,2,0,10,11,nan,nan
2012,282,288,36,2,0,10,12,nan,nan
2013,283,288,51,2,0,10,12,nan,nan
2014,285,288,53,2,0,18,14,nan,nan
2015,287,291,55,2,0,17,14,28491,16806
2016,288,294,57,2,0,17,14,30939,17955
2017,290,297,59,2,0,17,14,33786,19176
2018,292,303,60,2,0,16,16,36624,20571
2019,293,306,61,2,0,14,16,39591,16359
2020,295,306,61,2,0,12,18,41136,21948
2021,297,309,62,2,0,10,18,44610,23559
