year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,789,nan,3,nan,nan,nan,nan,nan
2002,nan,789,nan,2,nan,nan,nan,nan,nan
2003,nan,795,29,3,nan,nan,nan,nan,nan
2004,nan,798,30,3,1,29,29,nan,nan
2005,nan,801,26,3,1,28,29,nan,nan
2006,782,804,27,3,0,30,30,nan,nan
2007,787,810,26,3,0,32,30,nan,nan
2008,792,816,31,4,0,30,30,nan,nan
2009,797,822,30,4,0,32,30,nan,nan
2010,803,831,32,4,0,30,30,nan,nan
2011,809,843,32,3,0,33,30,nan,nan
2012,813,846,36,3,0,39,33,nan,nan
2013,816,846,48,3,0,43,34,nan,nan
2014,821,846,50,3,0,55,38,nan,nan
2015,824,858,53,3,0,54,37,nan,17091
2016,830,867,55,3,0,51,37,25482,18201
2017,835,873,57,3,0,49,36,27822,19284
2018,838,882,59,3,0,47,35,30048,20823
2019,835,888,60,3,0,46,36,32517,17163
2020,836,891,60,2,0,34,39,33918,22428
2021,836,894,61,2,0,30,42,37101,24051
