年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,cityincome,wage2022,target
2000.0,0.0,429.9463869,407.95,30.088235294117112,3.360294117647058,0.0,16.21978021977975,11.747252747252787,212.9867647058818,0.0,0.0,,408.0
2001.0,729.1208791208792,432.1177156,408.0,32.29411764705856,3.0,0.0,19.043956043955404,12.818681318681683,218.7250000000004,0.0,0.0,9300.0,410.0
2002.0,732.4945054945056,434.2890443,410.0,34.5,3.0,0.0,21.86813186813106,13.890109890110123,250.0,0.0,0.0,10532.0,412.0
2003.0,735.868131868132,436.460373,412.0,44.0,4.0,0.0,24.692307692307622,14.961538461538566,244.0,0.0,0.0,12020.0,413.0
2004.0,739.2417582417584,438.6317016,413.0,44.0,4.0,0.0,29.0,18.0,247.0,0.0,0.0,13400.0,415.0
2005.0,742.6153846153848,440.8030303,415.0,44.0,3.0,0.0,29.0,18.0,223.0,0.0,0.0,15080.0,417.0
2006.0,745.0,442.0,417.0,44.0,3.0,0.0,38.0,19.0,254.0,0.0,0.0,17164.0,418.0
2007.0,751.0,446.0,418.0,44.0,3.0,0.0,39.0,18.0,252.0,0.0,0.0,19928.0,420.0
2008.0,755.0,448.0,420.0,44.0,3.0,0.0,38.0,19.0,254.0,0.0,0.0,23264.0,421.0
2009.0,759.0,451.0,421.0,43.0,3.0,0.0,39.0,20.0,244.0,0.0,0.0,26340.0,421.0
2010.0,760.0,451.0,421.0,43.0,3.0,0.0,40.0,21.0,243.0,0.0,0.0,29948.0,422.0
2011.0,760.0,453.0,422.0,47.0,3.0,0.0,41.0,22.0,250.0,13722.0,21783.0,33896.0,424.0
2012.0,764.0,456.0,424.0,47.0,3.0,0.0,47.0,25.0,268.0,15993.0,24954.0,37940.0,424.0
2013.0,768.0,458.0,424.0,65.0,3.0,0.0,51.0,26.0,274.0,16917.0,28188.0,41996.0,425.0
2014.0,770.0,459.0,425.0,66.0,3.0,0.0,65.0,28.0,316.0,18423.0,30888.0,47180.0,428.0
2015.0,774.0,462.0,428.0,67.0,3.0,0.0,63.0,29.0,319.0,19902.0,33534.0,51140.0,430.0
2016.0,778.0,464.0,430.0,69.0,3.0,0.0,59.0,29.0,321.0,22119.0,33792.0,56780.0,432.0
2017.0,788.0,469.0,432.0,70.0,3.0,0.0,55.0,29.0,321.0,23697.0,36435.0,61928.0,433.0
2018.0,789.0,471.0,433.0,71.0,3.0,0.0,52.0,29.0,292.0,25260.0,39408.0,67000.0,434.0
2019.0,788.0,470.0,434.0,72.0,2.0,0.0,49.0,28.0,282.0,26973.0,42276.0,71432.0,435.0
2020.0,787.0,470.0,435.0,74.0,2.0,0.0,39.0,30.0,275.0,24537.0,37542.0,78812.0,434.0
2021.0,789.0,471.0,434.0,75.0,2.0,0.0,75.52747252747213,34.24725274725279,227.0,29469.0,46413.0,84756.0,
2022.0,0.0,477.7156177,437.1970588,75.0,3.0,0.0,78.35164835164778,35.31868131868168,339.22794117647027,31674.0,50094.0,91623.2300709486,
