年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,ruralincome_polynomial_predicted,rural_residents_consumption,per_income,per_consumption,cityincome,wage2022,target
2000.0,0.0,668.504662,618.7272727,64.34065934065939,4.176470588235247,108.05494505494516,172.30769230769147,96.23076923076952,376.72527472527145,0.0,0.0,0.0,0.0,0.0,0.0,,625.2727273
2001.0,411.741758241762,683.8158508,625.2727273,65.08791208791217,3.0,105.24175824175836,180.7692307692305,110.42307692307804,396.5604395604387,0.0,0.0,0.0,0.0,0.0,0.0,14312.0,631.8181818
2002.0,420.9890109890112,699.1270396,631.8181818,65.83516483516496,4.0,102.42857142857156,189.2307692307695,124.61538461538656,416.3956043955986,0.0,0.0,0.0,0.0,0.0,0.0,18316.0,638.3636364
2003.0,430.236263736264,714.4382284,638.3636364,66.58241758241775,4.0,99.61538461538476,197.69230769230853,138.80769230769147,436.2307692307659,0.0,0.0,0.0,0.0,0.0,0.0,21416.0,644.9090909
2004.0,439.4835164835167,729.7494172,644.9090909,67.32967032967053,4.0,102.0,182.0,166.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,24664.0,651.4545455
2005.0,448.7307692307695,745.0606061,651.4545455,68.07692307692332,4.0,93.0,198.0,165.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,28888.0,660.0
2006.0,452.0,751.0,660.0,69.0,4.0,92.0,222.0,167.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,30576.0,666.0
2007.0,466.0,773.0,666.0,69.0,3.0,87.0,235.0,191.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,32788.0,672.0
2008.0,474.0,786.0,672.0,69.0,3.0,84.0,245.0,204.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,36496.0,678.0
2009.0,480.0,797.0,678.0,70.0,3.0,80.0,264.0,225.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,40192.0,683.0
2010.0,488.0,810.0,683.0,73.0,3.0,80.0,278.0,239.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0,43944.0,689.0
2011.0,524.0,870.0,689.0,74.0,0.0,76.0,286.0,264.0,626.0,25372.517748917795,26990.70779234171,12565.541558441577,0.0,0.0,30511.589609384537,48768.0,696.0
2012.0,526.0,874.0,696.0,74.0,2.0,72.0,289.0,276.0,638.0,26966.895238095272,29743.7857144475,13726.157142857155,0.0,0.0,33820.88571333885,54408.0,701.0
2013.0,530.0,880.0,701.0,75.0,2.0,70.0,290.0,284.0,644.0,28643.142857142884,32681.42857158184,14959.28571428572,0.0,0.0,37266.42857068777,56416.0,707.0
2014.0,533.0,884.0,707.0,75.0,2.0,70.0,292.0,289.0,651.0,30656.0,35763.0,16020.0,0.0,0.0,40923.0,64956.0,716.0
2015.0,536.0,889.0,716.0,75.0,2.0,66.0,287.0,302.0,655.0,32164.0,39237.0,17814.0,39236.0,28491.0,44631.0,70820.0,724.0
2016.0,543.0,902.0,724.0,76.0,2.0,67.0,272.0,324.0,663.0,33816.0,42642.0,19332.0,42640.0,30180.0,48315.0,77816.0,736.0
2017.0,553.0,919.0,736.0,77.0,2.0,66.0,262.0,349.0,677.0,35684.0,46116.0,20562.0,46116.0,31905.0,52185.0,87152.0,754.0
2018.0,570.0,947.0,754.0,77.0,2.0,66.0,258.0,357.0,681.0,38176.0,49830.0,21981.0,49832.0,34146.0,56274.0,96668.0,774.0
2019.0,580.0,981.0,774.0,79.0,2.0,60.0,244.0,392.0,696.0,41612.0,54348.0,24201.0,54348.0,37368.0,61170.0,106708.0,794.0
2020.0,613.0,1036.0,794.0,83.0,2.0,57.0,257.0,407.0,720.0,44076.0,59259.0,26295.0,59260.0,40014.0,66066.0,120308.0,814.0
2021.0,706.0,1194.0,814.0,84.0,2.0,48.9780219780223,350.0,394.2692307692305,793.2637362637324,41916.0,61878.0,25662.0,61876.0,38235.0,68664.0,132188.0,
2022.0,0.0,1005.350816,762.7272727,84.0,2.0,46.164835164835495,358.461538461539,408.461538461539,813.0989010988997,48628.0,67707.0,30222.0,67708.0,44600.0,74700.0,138144.8902182579,
