年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,ruralincome_polynomial_predicted,rural_residents_consumption,per_income,per_consumption,cityincome,wage2022,target
2000.0,0.0,239.6538462,241.6585082,24.74592074592101,4.375,78.20219780219804,29.325274725274767,36.67912087912055,144.4153846153846,0.0,0.0,0.0,0.0,0.0,0.0,,243.2389277
2001.0,133.50109890109889,237.9230769,243.2389277,26.752913752914083,4.0,76.35384615384646,29.85494505494512,37.79560439560419,144.19120879120874,0.0,0.0,0.0,0.0,0.0,0.0,10316.0,244.8193473
2002.0,132.86153846153843,236.1923077,244.8193473,28.7599067599067,4.0,74.50549450549488,30.384615384615472,38.91208791208783,143.96703296703294,0.0,0.0,0.0,0.0,0.0,0.0,13408.0,246.3997669
2003.0,132.22197802197798,234.4615385,246.3997669,30.76689976689977,4.0,73.0,29.0,40.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,15944.0,247.9801865
2004.0,131.58241758241752,232.7307692,247.9801865,32.77389277389284,4.0,73.0,30.0,39.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,18620.0,249.5606061
2005.0,131.0,231.0,249.5606061,34.78088578088591,4.0,69.0,32.0,41.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,22916.0,251.0
2006.0,132.0,227.0,251.0,36.78787878787898,4.0,67.0,33.0,43.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,24956.0,253.0
2007.0,132.0,228.0,253.0,39.0,4.0,65.0,35.0,45.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,27348.0,254.0
2008.0,133.0,229.0,254.0,41.0,4.0,61.0,35.0,51.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,31444.0,255.0
2009.0,133.0,230.0,255.0,41.0,4.0,63.0,37.0,50.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,36240.0,257.0
2010.0,122.0,231.0,257.0,42.0,4.0,58.0,34.0,46.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,41140.0,260.0
2011.0,122.0,212.0,260.0,48.0,4.0,57.0,34.0,47.0,138.0,16169.224242424256,10180.357575654984,8663.957575757584,0.0,0.0,22634.23484817148,44972.0,261.0
2012.0,122.0,212.0,261.0,51.0,3.0,55.0,35.0,49.0,139.0,17401.066666666673,11160.466666519642,9471.53333333334,0.0,0.0,25112.24999967217,49068.0,263.0
2013.0,123.0,212.0,263.0,53.0,3.0,54.0,36.0,51.0,140.0,18743.333333333336,12168.0,10080.0,0.0,0.0,28005.0,56608.0,264.0
2014.0,123.0,212.0,264.0,54.0,3.0,52.0,37.0,52.0,141.0,20004.0,13632.0,11480.0,0.0,0.0,30410.0,59780.0,266.0
2015.0,124.0,213.0,266.0,55.0,3.0,52.0,37.0,53.0,141.0,21864.0,15000.0,12676.0,22424.0,16920.0,32875.0,66100.0,266.0
2016.0,125.0,214.0,266.0,56.0,3.0,50.0,37.0,55.0,143.0,23556.0,16456.0,13936.0,24400.0,18396.0,35965.0,77236.0,268.0
2017.0,126.0,217.0,268.0,58.0,3.0,50.0,37.0,57.0,144.0,25296.0,18072.0,15220.0,26756.0,19932.0,38995.0,85056.0,269.0
2018.0,127.0,219.0,269.0,60.0,2.0,48.0,40.0,57.0,144.0,27016.0,19920.0,16620.0,29328.0,21568.0,42555.0,92580.0,270.0
2019.0,128.0,220.0,270.0,62.0,2.0,46.0,45.0,54.0,144.0,29268.0,21928.0,18140.0,32244.0,23508.0,46435.0,103256.0,271.0
2020.0,145.0,221.0,271.0,63.0,2.0,41.23516483516505,39.918681318681365,59.00879120879108,139.9318681318681,31876.0,23636.0,18332.0,35448.0,25716.0,48530.0,108388.15402257442,271.0
2021.0,145.0,251.0,271.0,62.0,2.0,14.0,51.0,77.0,142.0,31756.0,26384.0,21612.0,37744.0,25940.0,53255.0,115580.0,
2022.0,0.0,201.5769231,276.4277389,63.0,2.595588235294116,37.53846153846189,40.97802197802207,61.24175824175791,139.48351648351644,36676.0,28468.0,23576.0,42036.0,30385.0,55780.0,126715.74001920225,
