年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,wage2022,target
2000.0,0.0,284.2417955,267.2494172,51.37412587412609,4.141379310344803,44.59999999999991,54.98809523809541,24.57380952380845,237.2607607378612,,267.5361305
2001.0,694.0,284.0,267.5361305,52.47202797202817,3.0,43.20000000000027,57.55595238095248,28.06309523809432,245.1294015508299,10276.0,267.8228438
2002.0,694.0,288.6793663,267.8228438,53.56993006993025,4.0,41.80000000000018,60.12380952380954,31.55238095238019,251.17083440369143,11740.0,268.1095571
2003.0,694.0,290.8981516,268.1095571,54.66783216783233,3.751724137931035,44.0,55.0,42.0,250.5406593406593,13192.0,268.3962704
2004.0,695.0,293.116937,268.3962704,55.76573426573441,4.0,39.0,60.0,41.0,262.22857142857146,15260.0,268.6829837
2005.0,695.0,295.3357224,268.6829837,56.86363636363649,4.0,37.0,63.0,45.0,270.2142857142857,17380.0,268.969697
2006.0,696.0,297.5545077,268.969697,59.0,4.0,35.0,68.0,45.0,288.95714285714286,19888.0,269.0
2007.0,699.0,300.0,269.0,60.0,3.0,33.0,75.0,46.0,299.4,22920.0,269.0
2008.0,699.0,302.0,269.0,60.0,3.0,30.0,81.0,46.0,310.6428571428572,27024.0,269.0
2009.0,699.0,304.0,269.0,60.0,3.0,32.0,84.0,49.0,321.45714285714286,30956.0,270.0
2010.0,702.0,307.0,270.0,62.0,3.0,32.0,88.0,54.0,328.6142857142857,34204.0,271.0
2011.0,704.0,311.0,271.0,63.0,3.0,34.0,90.0,58.0,336.95714285714286,37672.0,272.0
2012.0,707.0,313.0,272.0,64.0,2.582758620689617,26.0,96.0,69.0,339.1714285714286,42660.0,271.0
2013.0,705.0,315.0,271.0,65.0,2.0,24.0,92.0,76.0,343.01428571428573,47624.0,272.0
2014.0,823.0,317.0,272.0,67.0,2.0,24.0,91.0,77.0,348.6142857142857,54748.0,272.0
2015.0,709.0,317.0,272.0,68.0,2.0,24.0,90.0,79.0,350.74285714285713,58640.0,272.0
2016.0,708.0,318.0,272.0,69.0,2.0,23.0,89.0,81.0,352.8857142857143,63364.0,272.0
2017.0,1603.0,318.0,272.0,71.0,2.0,22.0,88.0,84.0,355.1857142857143,68872.0,271.0
2018.0,744.1309523809532,319.0,271.0,71.0,2.0,22.0,88.0,84.0,358.25714285714287,75312.0,271.0
2019.0,1600.0,320.0,271.0,78.0,2.0,22.0,85.0,88.0,362.7142857142857,79608.0,270.0
2020.0,1600.0,320.0,270.0,80.0,2.0,22.0,84.0,90.0,383.5017268445839,87012.0,65.0
2021.0,755.0702380952389,321.0,65.0,80.0,2.0,20.0,79.0,100.0,372.8414442700157,93128.0,
2022.0,0.0,333.0550736,273.5571096,75.52797202797228,3.0,13.800000000000182,111.48095238095266,101.33809523809396,413.9764577859114,100813.76240348816,
