年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,cityincome,wage2022,target
2000.0,0.0,185.9172494,172.6,23.507352941176578,2.0,0.1978021978021971,16.351648351648464,7.967032967032992,87.51176470588234,0.0,0.0,,172.0
2001.0,237.0536130536129,187.518648,172.0,26.06617647058829,2.0,0.208791208791208,17.208791208791354,8.631868131868032,91.05000000000018,0.0,0.0,15328.0,174.0
2002.0,239.0326340326341,189.1200466,174.0,28.625,2.0,0.219780219780219,18.065934065934243,9.2967032967033,105.0,0.0,0.0,17684.0,175.0
2003.0,241.01165501165497,190.7214452,175.0,32.0,2.0,0.2307692307692299,18.923076923076906,9.96153846153834,106.0,0.0,0.0,19172.0,177.0
2004.0,242.9906759906762,192.3228438,177.0,33.0,2.0,0.0,22.0,9.0,107.0,0.0,0.0,21180.0,179.0
2005.0,244.969696969697,193.9242424,179.0,43.0,2.0,0.0,21.0,10.0,100.0,0.0,0.0,24264.0,181.0
2006.0,246.0,195.0,181.0,43.0,2.0,0.0,22.0,12.0,110.0,0.0,0.0,26004.0,182.0
2007.0,249.0,197.0,182.0,42.0,2.0,0.0,22.0,13.0,111.0,0.0,0.0,27608.0,183.0
2008.0,251.0,199.0,183.0,42.0,2.0,0.0,22.0,14.0,111.0,0.0,0.0,30132.0,184.0
2009.0,253.0,200.0,184.0,43.0,2.0,1.0,22.0,15.0,107.0,0.0,0.0,33672.0,185.0
2010.0,255.0,202.0,185.0,44.0,2.0,1.0,22.0,16.0,110.0,0.0,0.0,36920.0,185.0
2011.0,257.0,204.0,185.0,44.0,2.0,1.0,23.0,17.0,116.0,14742.0,23793.0,41196.0,186.0
2012.0,259.0,206.0,186.0,43.0,2.0,1.0,29.0,16.0,126.0,17529.0,27342.0,45608.0,186.0
2013.0,262.0,207.0,186.0,63.0,2.0,0.0,29.0,17.0,129.0,18000.0,30951.0,50192.0,187.0
2014.0,263.0,208.0,187.0,64.0,2.0,0.0,32.0,17.0,148.0,19566.0,33981.0,56812.0,189.0
2015.0,265.0,210.0,189.0,66.0,2.0,0.0,31.0,17.0,150.0,21924.0,36939.0,60772.0,191.0
2016.0,266.0,211.0,191.0,67.0,2.0,0.0,27.0,17.0,151.0,23139.0,38733.0,67464.0,193.0
2017.0,268.0,213.0,193.0,68.0,2.0,0.0,26.0,17.0,151.0,24876.0,41577.0,73128.0,195.0
2018.0,271.0,215.0,195.0,69.0,3.0,0.0,23.0,17.0,143.0,26871.0,44763.0,76936.0,197.0
2019.0,264.0,217.0,197.0,69.0,3.0,0.0,21.0,16.0,133.0,28899.0,47910.0,89500.0,198.0
2020.0,264.0,218.0,198.0,71.0,3.0,0.0,20.0,18.0,130.0,25359.0,40602.0,100224.0,198.0
2021.0,266.0,219.0,198.0,72.0,3.0,0.428571428571427,34.351648351648464,21.92857142857133,124.0,31284.0,52683.0,107268.0,
2022.0,0.0,221.1480186,197.5764706,72.0,2.0,0.439560439560438,35.208791208791354,22.5934065934066,165.35294117647027,33525.0,56625.0,114026.29773402214,
