年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,ruralincome_polynomial_predicted,cityincome,wage2022,target
2000.0,0.0,452.5850622,437.6643357,26.32867132867159,4.777575205104824,114.05476190476202,46.48809523809541,57.514285714286416,237.2607607378612,0.0,0.0,,457.0
2001.0,612.0,457.0,443.3111888,28.51748251748268,4.595259799453004,111.8226190476198,49.30595238095248,60.44285714285797,245.1294015508299,0.0,0.0,8004.0,451.3817427
2002.0,617.0,451.3817427,448.958042,30.706293706293764,4.41294439380124,109.59047619047668,52.12380952380954,63.37142857142953,251.17083440369143,0.0,0.0,8980.0,450.780083
2003.0,619.0,450.780083,454.6048951,32.89510489510485,4.0,111.0,44.0,54.0,250.5406593406593,0.0,0.0,10076.0,450.1784232
2004.0,624.0,450.1784232,460.2517483,35.08391608391594,4.0,106.0,43.0,53.0,262.22857142857146,0.0,0.0,11260.0,449.5767635
2005.0,625.0,449.5767635,465.8986014,37.27272727272703,4.0,103.0,50.0,61.0,270.2142857142857,0.0,0.0,12712.0,448.9751037
2006.0,630.0,448.9751037,471.5454545,39.0,4.0,100.0,59.0,68.0,288.95714285714286,0.0,0.0,15040.0,451.0
2007.0,639.0,451.0,479.0,41.0,4.0,95.0,72.0,75.0,299.4,0.0,0.0,17760.0,447.0
2008.0,643.0,447.0,482.0,42.0,3.0,93.0,81.0,99.0,310.6428571428572,0.0,0.0,21484.0,446.0
2009.0,651.0,446.0,488.0,43.0,3.0,93.0,83.0,101.0,321.45714285714286,0.0,0.0,26492.0,445.0
2010.0,654.0,445.0,491.0,52.0,2.9544211485870164,93.0,92.0,106.0,328.6142857142857,0.0,0.0,29548.0,440.0
2011.0,664.0,440.0,498.0,53.0,2.7721057429352527,92.0,96.0,114.0,336.95714285714286,8432.035713225603,24739.150001764297,33836.0,439.0
2012.0,663.0,439.0,505.0,54.0,2.589790337283489,88.0,101.0,119.0,339.1714285714286,9108.535713523626,24435.250001311302,38816.0,441.0
2013.0,671.0,441.0,511.0,56.0,2.0,83.0,78.0,89.0,343.01428571428573,9881.821428120136,24342.0,44128.0,443.0
2014.0,582.0,443.0,520.0,57.0,2.0,82.0,78.0,90.0,348.6142857142857,10751.892856895924,26898.0,46244.0,445.0
2015.0,691.0,445.0,527.0,59.0,2.0,79.0,81.0,91.0,350.74285714285713,11697.0,23595.0,52612.0,447.0
2016.0,697.0,447.0,531.0,60.0,2.0,79.0,81.0,91.0,352.8857142857143,12777.0,25728.0,56152.0,450.0
2017.0,1464.0,450.0,534.0,62.0,2.0,79.0,81.0,91.0,355.1857142857143,13932.0,27852.0,61260.0,452.0
2018.0,672.4285714285706,452.0,533.0,63.0,2.0,79.0,81.0,91.0,358.25714285714287,15273.0,30291.0,69724.0,452.0
2019.0,1534.0,452.0,534.0,61.0,2.0,78.0,82.0,91.0,362.7142857142857,16605.0,32748.0,75808.0,459.0
2020.0,1534.0,459.0,534.0,62.0,1.1312670920692651,76.0,73.0,101.0,383.5017268445839,18060.0,35388.0,92008.0,460.0
2021.0,682.4571428571426,460.0,534.0,62.0,2.0,70.0,77.0,106.0,372.8414442700157,19236.0,36720.0,100208.0,
2022.0,0.0,439.3485477,561.8951049,74.48251748251732,0.766636280765681,64.94761904761981,108.48095238095266,121.94285714285796,413.9764577859114,21372.0,39861.0,104471.82555949688,
