年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,cityincome,wage2022,target
2000.0,0.0,0.0,705.4,41.82058823529405,3.57352941176471,1.5824175824176052,70.2967032967033,30.087912087912173,430.7176470588238,0.0,0.0,,0.0
2001.0,689.8901098901115,0.0,707.0,43.760294117646936,3.0,1.4780219780219852,71.15934065934061,32.10989010989033,436.8000000000011,0.0,0.0,10176.0,0.0
2002.0,700.802197802197,0.0,710.0,45.69999999999982,4.0,1.3736263736263936,72.02197802197793,34.13186813186849,440.0,0.0,0.0,12720.0,0.0
2003.0,711.7142857142862,0.0,716.0,35.0,4.0,1.2692307692307736,72.88461538461547,36.15384615384619,448.0,0.0,0.0,14112.0,0.0
2004.0,722.6263736263718,0.0,721.0,36.0,4.0,1.0,64.0,42.0,451.0,0.0,0.0,15332.0,0.0
2005.0,733.538461538461,0.0,731.0,64.0,3.0,1.0,73.0,42.0,460.0,0.0,0.0,17260.0,820.0
2006.0,750.0,820.0,741.0,61.0,3.0,1.0,80.0,44.0,467.0,0.0,0.0,20020.0,829.0
2007.0,759.0,829.0,749.0,61.0,3.0,1.0,85.0,44.0,475.0,0.0,0.0,23456.0,839.0
2008.0,768.0,839.0,758.0,61.0,3.0,1.0,84.0,46.0,482.0,0.0,0.0,27084.0,846.0
2009.0,774.0,846.0,762.0,63.0,3.0,0.0,80.0,46.0,485.0,0.0,0.0,30232.0,850.0
2010.0,778.0,850.0,763.0,63.0,3.0,1.0,75.0,47.0,489.0,0.0,0.0,33256.0,872.0
2011.0,798.0,872.0,764.0,63.0,3.0,1.0,76.0,48.0,505.0,17529.0,24996.0,37800.0,890.0
2012.0,796.0,890.0,766.0,63.0,3.0,0.0,78.0,50.0,511.0,19296.0,28566.0,43160.0,903.0
2013.0,823.0,903.0,770.0,68.0,3.0,0.0,77.0,52.0,516.0,20391.0,32142.0,49052.0,918.0
2014.0,836.0,918.0,774.0,68.0,3.0,0.0,87.0,60.0,518.0,22059.0,35226.0,55332.0,935.0
2015.0,851.0,935.0,781.0,70.0,3.0,0.0,84.0,66.0,521.0,24015.0,38292.0,62096.0,945.0
2016.0,860.0,945.0,783.0,72.0,3.0,0.0,83.0,67.0,524.0,26049.0,40368.0,69464.0,961.0
2017.0,875.0,961.0,791.0,73.0,3.0,0.0,77.0,68.0,524.0,28284.0,43596.0,76616.0,972.0
2018.0,861.0,972.0,803.0,74.0,3.0,0.0,75.0,71.0,524.0,30567.0,47175.0,83536.0,981.0
2019.0,870.0,981.0,818.0,74.0,3.0,0.0,70.0,75.0,525.0,32889.0,50817.0,90840.0,992.0
2020.0,880.0,992.0,831.0,76.0,3.0,0.0,62.0,85.0,524.0,29499.0,45450.0,103124.0,1011.0
2021.0,896.0,1011.0,837.0,77.0,3.0,-0.6098901098901024,88.41208791208783,72.54945054945074,526.0,35934.0,55902.0,116112.0,
2022.0,0.0,1617.720588,820.1882353,77.0,3.0,-0.714285714285694,89.27472527472537,74.5714285714289,564.5294117647063,38571.0,60237.0,122415.73533630373,
