年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,wage2022,target
2000.0,0.0,732.7053942,765.7062937,37.54428904428869,2.0,166.78333333333285,149.76666666666642,101.28809523809468,237.2607607378612,,751.0
2001.0,981.0,751.0,765.7097902,39.25058275058245,2.0,161.45833333333212,154.51666666666642,105.20595238095213,245.1294015508299,9244.0,731.7510373
2002.0,978.0,731.7510373,765.7132867,40.956876456876216,2.0,156.1333333333332,159.26666666666642,109.12380952380865,251.17083440369143,10588.0,731.2738589
2003.0,975.0,731.2738589,765.7167832,42.66317016316998,2.0,185.0,140.0,71.0,250.5406593406593,12108.0,730.7966805
2004.0,972.0,730.7966805,765.7202797,44.36946386946374,2.0,172.0,160.0,99.0,262.22857142857146,13544.0,730.3195021
2005.0,967.0,730.3195021,765.7237762,46.07575757575705,2.0,158.0,171.0,103.0,270.2142857142857,15900.0,729.8423237
2006.0,963.0,729.8423237,765.7272727,47.0,2.0,134.0,178.0,132.0,288.95714285714286,18512.0,725.0
2007.0,962.0,725.0,770.0,49.0,2.0,108.0,191.0,150.0,299.4,21660.0,718.0
2008.0,958.0,718.0,766.0,50.0,2.0,97.0,204.0,156.0,310.6428571428572,25944.0,715.0
2009.0,955.0,715.0,764.0,53.0,2.0,90.0,201.0,163.0,321.45714285714286,30852.0,713.0
2010.0,953.0,713.0,763.0,56.0,2.0,85.0,207.0,169.0,328.6142857142857,35220.0,728.0
2011.0,954.0,728.0,763.0,58.0,2.0,81.0,216.0,167.0,336.95714285714286,39444.0,729.0
2012.0,956.0,729.0,765.0,59.0,2.0,76.0,216.0,173.0,339.1714285714286,44568.0,730.0
2013.0,956.0,730.0,765.0,60.0,2.0,115.0,214.0,140.0,343.01428571428573,49396.0,730.0
2014.0,912.0,730.0,767.0,61.0,2.0,107.0,217.0,143.0,348.6142857142857,58652.0,730.0
2015.0,728.0,730.0,768.0,63.0,2.0,102.0,216.0,144.0,350.74285714285713,63292.0,730.0
2016.0,727.0,730.0,767.0,64.0,2.0,97.0,215.0,148.0,352.8857142857143,66532.0,730.0
2017.0,4128.0,730.0,767.0,66.0,2.0,96.0,213.0,149.0,355.1857142857143,71740.0,731.0
2018.0,859.2380952380954,731.0,764.0,67.0,2.0,96.0,213.0,149.0,358.25714285714287,75312.0,731.0
2019.0,4106.0,731.0,763.0,70.0,2.0,84.0,212.0,160.0,362.7142857142857,79216.0,772.0
2020.0,4160.0,772.0,760.0,70.0,2.0,80.0,211.0,161.0,383.5017268445839,86796.0,773.0
2021.0,833.6095238095259,773.0,756.0,71.0,2.0,72.0,204.0,210.0,372.8414442700157,92540.0,
2022.0,0.0,722.2074689,765.7832168,75.08275058275012,2.0,49.63333333333321,254.2666666666664,187.4809523809517,413.9764577859114,100693.98496079443,
