年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,ruralincome_polynomial_predicted,rural_residents_consumption,per_income,per_consumption,cityincome,wage2022,target
2000.0,0.0,282.25,309.625,42.516483516483504,3.4455882352941103,75.46153846153857,22.99067599067598,37.444055944056345,159.40000000000146,0.0,0.0,0.0,0.0,0.0,0.0,,275.0
2001.0,150.0,275.0,310.0,43.23626373626371,2.9,74.3846153846157,23.57808857808845,38.46853146853164,142.0,0.0,0.0,0.0,0.0,0.0,0.0,8200.0,275.0
2002.0,150.0,275.0,310.0,43.95604395604392,2.9,73.30769230769238,24.165501165501155,39.49300699300738,143.0,0.0,0.0,0.0,0.0,0.0,0.0,10350.0,280.0
2003.0,155.0,280.0,315.0,44.67582417582412,3.4,72.23076923076951,24.752913752913628,40.51748251748268,143.0,0.0,0.0,0.0,0.0,0.0,0.0,12150.0,285.0
2004.0,155.0,285.0,315.0,45.39560439560432,3.4,71.15384615384619,25.340326340326328,41.54195804195842,286.0,0.0,0.0,0.0,0.0,0.0,0.0,13980.0,285.0
2005.0,155.0,285.0,315.0,46.11538461538453,3.3,70.07692307692332,25.9277389277388,42.56643356643372,294.0,0.0,0.0,0.0,0.0,0.0,0.0,16390.0,290.0
2006.0,155.0,290.0,320.0,50.0,3.3,69.0,26.5151515151515,43.59090909090946,349.0,0.0,0.0,0.0,0.0,0.0,0.0,18210.0,290.0
2007.0,160.0,290.0,320.0,46.0,3.4,72.0,25.0,42.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,20040.0,285.0
2008.0,155.0,285.0,320.0,46.0,3.2,71.0,26.0,43.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,23050.0,285.0
2009.0,155.0,285.0,320.0,47.0,3.2,64.0,29.0,47.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,25970.0,285.0
2010.0,150.0,285.0,325.0,47.0,3.2,62.0,31.0,50.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,28270.0,280.0
2011.0,155.0,280.0,325.0,53.0,3.0,61.0,30.0,51.0,443.0,12908.0,6316.0,4928.0,0.0,0.0,18020.0,31870.0,280.0
2012.0,155.0,280.0,330.0,53.0,2.9,60.0,31.0,51.0,445.0,14392.0,7460.0,6192.0,0.0,0.0,20325.0,35830.0,280.0
2013.0,155.0,280.0,325.0,53.0,2.8,59.0,31.0,53.0,437.0,16288.0,8576.0,6628.0,0.0,0.0,23180.0,40130.0,280.0
2014.0,155.0,280.0,325.0,54.0,2.4,59.0,32.0,52.0,437.0,17640.0,9580.0,7324.0,0.0,0.0,25590.0,44900.0,280.0
2015.0,150.0,280.0,330.0,54.0,2.4,59.0,33.0,53.0,438.0,15220.0,10532.0,8824.0,16620.0,12220.0,21580.0,49060.0,280.0
2016.0,150.0,280.0,330.0,54.0,2.5,59.0,32.0,53.0,438.0,16588.0,11604.0,9652.0,18140.0,13380.0,23500.0,54920.0,285.0
2017.0,150.0,285.0,335.0,54.0,2.5,59.0,32.0,54.0,439.0,18140.0,12788.0,10824.0,19972.0,14800.0,25850.0,61470.0,285.0
2018.0,155.0,285.0,335.0,54.0,2.4,59.0,32.0,54.0,436.0,19628.0,14104.0,11808.0,21864.0,16052.0,28305.0,65723.52941179276,285.0
2019.0,155.0,285.0,335.0,55.0,2.3,59.0,25.0,50.0,441.0,20804.0,15432.0,12712.0,23672.0,17204.0,30285.0,71601.61764645576,285.0
2020.0,155.0,285.0,335.0,56.0,2.1,59.0,25.0,50.0,589.0,22468.0,16940.0,13860.0,25804.0,18724.0,32630.0,77765.39989590645,285.0
2021.0,155.0,285.0,335.0,57.0,2.5,33.0,25.0,66.0,598.0,22160.0,18288.0,14268.0,27544.0,18800.0,34415.0,84214.87615966797,
2022.0,0.0,282.0882353,338.9044118,58.0,2.5,51.769230769230944,35.91375291375289,59.98251748251778,628.1294117647121,25072.0,20252.0,16304.0,30204.0,21330.0,37620.0,90950.04643797874,
