年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,ruralincome_polynomial_predicted,cityincome,wage2022,target
2000.0,0.0,471.1848359,203.6084496,34.75058275058291,4.053571428571445,81.18676470588252,88.04411764705856,74.64558823529433,243.71617647058883,0.0,0.0,,479.0
2001.0,869.0,479.0,0.0,36.46386946386974,3.914285714285711,79.95000000000027,90.25,76.52500000000009,246.5750000000008,0.0,0.0,7816.0,469.9935873
2002.0,870.0,469.9935873,250.4911354,38.17715617715612,4.0,97.0,75.0,73.0,245.0,0.0,0.0,9060.0,469.397963
2003.0,870.0,469.397963,273.9324783,39.89044289044296,4.0,79.0,87.0,77.0,242.0,0.0,0.0,10056.0,468.8023387
2004.0,868.0,468.8023387,297.3738212,41.60372960372979,4.0,73.0,93.0,78.0,244.0,0.0,0.0,11420.0,468.2067144
2005.0,866.0,468.2067144,320.8151641,43.31701631701617,2.0,69.0,101.0,85.0,255.0,0.0,0.0,13188.0,467.6110902
2006.0,869.0,467.6110902,344.256507,45.030303030303,3.0,65.0,105.0,86.0,256.0,0.0,0.0,15088.0,463.0
2007.0,864.0,463.0,504.0,46.0,3.0,66.0,109.0,90.0,266.0,0.0,0.0,17308.0,458.0
2008.0,864.0,458.0,501.0,48.0,3.0,67.0,117.0,97.0,281.0,0.0,0.0,21264.0,464.0
2009.0,869.0,464.0,501.0,49.0,3.0,67.0,118.0,99.0,284.0,0.0,0.0,25732.0,467.0
2010.0,872.0,467.0,504.0,51.0,3.0,67.0,119.0,99.0,284.0,0.0,0.0,29796.0,462.0
2011.0,876.0,462.0,505.0,56.0,3.0,65.0,119.0,103.0,287.0,11044.0,23595.0,34488.0,463.0
2012.0,875.0,463.0,507.0,57.0,2.0,73.0,119.0,92.0,284.0,12492.0,26570.0,38324.0,463.0
2013.0,801.0,463.0,506.0,58.0,2.0,71.0,119.0,94.0,284.0,13980.0,29110.0,42980.0,463.0
2014.0,879.0,463.0,508.0,59.0,2.0,69.0,119.0,97.0,285.0,15076.0,31345.0,46788.0,464.0
2015.0,878.0,464.0,509.0,60.0,2.0,63.0,118.0,100.0,281.0,16408.0,34090.0,53396.0,464.0
2016.0,2136.0,464.0,508.0,62.0,2.0,60.0,113.0,105.0,278.0,17860.0,36825.0,57872.0,465.0
2017.0,854.7450549450555,465.0,508.0,63.0,2.0,60.0,113.0,105.0,278.0,19492.0,40055.0,61068.0,465.0
2018.0,2192.0,465.0,505.0,65.0,2.0,56.0,112.0,108.0,276.0,21216.0,43450.0,65508.0,464.0
2019.0,2208.0,464.0,503.0,66.0,2.0,54.0,113.0,108.0,275.0,23116.0,47215.0,70848.0,452.0
2020.0,851.461538461539,452.0,501.0,67.0,2.0,50.0,108.0,121.0,279.0,24612.0,49100.0,79892.0,452.0
2021.0,850.3670329670335,452.0,497.0,68.0,1.1285714285714334,46.0,109.0,121.0,276.0,27400.0,53815.0,85944.0,
2022.0,0.0,458.0811015,719.3179932,69.0,0.9892857142856996,53.97794117647072,136.57352941176487,115.99264705882342,306.6102941176477,29416.0,56575.0,92293.19699168204,
