年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,ruralincome_polynomial_predicted,rural_residents_consumption,per_income,per_consumption,cityincome,wage2022,target
2000.0,0.0,595.9615385,540.7552448,57.56043956043959,4.183823529411768,114.48351648351672,171.42857142857065,59.79120879120819,263.7781385281378,0.0,0.0,0.0,0.0,0.0,0.0,,608.2692308
2001.0,648.8516483516469,608.2692308,543.6678322,58.45604395604392,3.0,108.25824175824346,178.670329670329,69.95054945055017,277.3538961038976,0.0,0.0,0.0,0.0,0.0,0.0,15512.0,620.5769231
2002.0,659.1098901098885,620.5769231,546.5804196,59.35164835164824,4.0,102.03296703296836,185.91208791208737,80.10989010989215,290.9296536796537,0.0,0.0,0.0,0.0,0.0,0.0,19088.0,632.8846154
2003.0,669.3681318681301,632.8846154,549.493007,60.24725274725279,4.0,95.80769230769327,193.15384615384573,90.26923076923048,223.0,0.0,0.0,0.0,0.0,0.0,0.0,21120.0,645.1923077
2004.0,679.6263736263754,645.1923077,552.4055944,61.14285714285711,4.0,88.0,198.0,100.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,23688.0,657.5
2005.0,689.8846153846171,657.5,555.3181818,62.03846153846143,4.0,80.0,201.0,115.0,335.5,0.0,0.0,0.0,0.0,0.0,0.0,25820.0,656.0
2006.0,698.0,656.0,557.0,63.0,4.0,76.0,213.0,126.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,29044.0,672.0
2007.0,714.0,672.0,560.0,63.0,3.0,71.0,224.0,135.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,28948.0,690.0
2008.0,704.0,690.0,565.0,64.0,3.0,68.0,229.0,142.0,381.5,0.0,0.0,0.0,0.0,0.0,0.0,32924.0,707.0
2009.0,721.0,707.0,568.0,64.0,3.0,65.0,233.0,143.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,35832.0,719.0
2010.0,734.0,719.0,571.0,68.0,3.0,69.0,239.0,135.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,39136.0,761.0
2011.0,776.0,761.0,574.0,69.0,3.0,32.0,266.0,178.0,429.5,21279.60173160177,26526.611688554287,11794.19480519483,0.0,0.0,30633.087012887,43476.0,763.0
2012.0,778.0,763.0,576.0,69.0,3.0,33.0,274.0,188.0,440.0,22588.95238095241,29089.828571677208,12773.64285714288,0.0,0.0,33758.15714287758,49756.0,764.0
2013.0,779.0,764.0,578.0,70.0,3.0,30.0,275.0,197.0,445.5,24046.095238095266,31842.64285731316,13822.214285714304,0.0,0.0,37038.285714268684,56252.0,766.0
2014.0,782.0,766.0,580.0,70.0,2.0,29.0,274.0,200.0,446.0,25012.0,34656.0,14442.0,0.0,0.0,40425.0,63360.0,781.0
2015.0,797.0,781.0,584.0,71.0,2.0,19.0,273.0,219.0,451.0,27892.0,38073.0,16227.0,38072.0,24324.0,44154.0,70224.0,783.0
2016.0,798.0,783.0,587.0,72.0,2.0,19.0,271.0,220.0,450.0,29644.0,41373.0,17799.0,41372.0,26055.0,47850.0,74988.0,788.0
2017.0,804.0,788.0,591.0,72.0,2.0,18.0,272.0,230.0,453.5,31584.0,44640.0,19311.0,44640.0,27891.0,51558.0,83656.0,801.0
2018.0,817.0,801.0,597.0,73.0,2.0,16.0,275.0,240.0,459.5,33196.0,48231.0,20238.0,48232.0,29316.0,55656.0,91704.0,820.0
2019.0,837.0,820.0,603.0,74.0,2.0,16.0,271.0,254.0,464.5,36712.0,52401.0,21246.0,52400.0,32199.0,60132.0,102324.0,854.0
2020.0,872.0,854.0,608.0,78.0,2.0,16.0,319.0,254.0,488.0,38272.0,56982.0,22797.0,56980.0,33942.0,64884.0,110876.0,940.0
2021.0,960.0,940.0,614.0,78.0,2.0,-16.24725274725097,323.5054945054944,273.1373626373643,419.0,38700.0,59952.0,23481.0,59952.0,34455.0,68007.0,111284.0,
2022.0,0.0,866.7307692,604.8321678,79.0,2.0,-22.472527472526053,330.7472527472528,283.2967032967026,562.4448051948057,45360.0,65436.0,27450.0,65436.0,40476.0,73869.0,126072.61352729796,
