年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,wage2022,target
2000.0,0.0,796.1761599,791.6072261,30.74125874125866,3.5380041788754144,128.4666666666667,46.16428571428696,81.34285714285761,237.2607607378612,,795.0
2001.0,531.0,795.0,793.8519814,32.72027972027945,3.185921623795128,127.76666666666688,52.86785714285725,86.72857142857174,245.1294015508299,7736.0,786.1142965
2002.0,531.0,786.1142965,796.0967366,34.69930069930069,3.406236631917076,127.06666666666683,59.57142857142935,92.11428571428588,251.17083440369143,8608.0,781.0833648
2003.0,531.0,781.0833648,798.3414918,36.67832167832148,3.5285792066372834,146.0,68.0,111.0,250.5406593406593,9688.0,776.052433
2004.0,532.0,776.052433,800.5862471,38.65734265734272,3.4601965503068253,131.0,80.0,112.0,262.22857142857146,10616.0,771.0215013
2005.0,533.0,771.0215013,802.8310023,40.63636363636351,3.272368421052632,118.0,87.0,113.0,270.2142857142857,11948.0,765.9905696
2006.0,471.0,765.9905696,805.0757576,43.0,3.2015037593984967,116.0,88.0,114.0,288.95714285714286,13648.0,769.0
2007.0,474.0,769.0,805.0,44.0,3.0845864661654137,115.0,89.0,115.0,299.4,15688.0,758.0
2008.0,477.0,758.0,810.0,45.0,2.989076890126366,116.0,95.0,119.0,310.6428571428572,18848.0,752.0
2009.0,478.0,752.0,812.0,46.0,3.04812030075188,124.0,101.0,111.0,321.45714285714286,22380.0,748.0
2010.0,479.0,748.0,812.0,53.0,2.923697739892848,114.0,105.0,123.0,328.6142857142857,26672.0,726.0
2011.0,481.0,726.0,816.0,54.0,2.7523262136379576,111.0,110.0,127.0,336.95714285714286,30460.0,724.0
2012.0,484.0,724.0,821.0,56.0,2.6176986567887663,107.0,117.0,133.0,339.1714285714286,35496.0,722.0
2013.0,485.0,722.0,822.0,57.0,2.443609022556391,140.0,143.0,165.0,343.01428571428573,40356.0,722.0
2014.0,425.0,722.0,824.0,59.0,2.311827341846903,133.0,147.0,167.0,348.6142857142857,44268.0,722.0
2015.0,489.0,722.0,829.0,60.0,2.279365580367711,126.0,151.0,168.0,350.74285714285713,48140.0,723.0
2016.0,489.0,723.0,828.0,62.0,2.2485255038015795,115.0,157.0,174.0,352.8857142857143,53444.0,724.0
2017.0,2230.0,724.0,831.0,63.0,2.192105263157895,110.0,160.0,176.0,355.1857142857143,58204.0,724.0
2018.0,440.2571428571409,724.0,826.0,64.0,2.147368421052632,110.0,160.0,176.0,358.25714285714287,64280.0,720.0
2019.0,2206.0,720.0,825.0,63.0,2.075266314211316,96.0,159.0,177.0,362.7142857142857,71404.0,671.0
2020.0,2306.0,671.0,821.0,64.0,2.048191239264981,95.0,159.0,177.0,383.5017268445839,84776.0,671.0
2021.0,424.3142857142848,671.0,814.0,65.0,2.0943922305764406,85.0,153.0,180.0,372.8414442700157,89724.0,
2022.0,0.0,685.495662,840.9918415,74.2797202797201,2.037419285913954,113.06666666666683,193.6428571428587,199.8285714285721,413.9764577859114,96503.54285550116,
