年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,wage2022,target
2000.0,0.0,673.9038099,233.3526971,56.88694638694642,3.0,55.55735294117676,150.08676470588398,70.12352941176505,275.8955882352893,,679.0
2001.0,684.0,679.0,0.0,58.00932400932379,4.0,53.27499999999964,168.27500000000146,82.89999999999782,304.5249999999942,11776.0,727.0339495
2002.0,688.0,727.0339495,297.8755187,59.13170163170162,4.0,62.0,161.0,101.0,324.0,13668.0,753.5990192
2003.0,696.0,753.5990192,330.1369295,60.25407925407899,4.0,55.0,195.0,96.0,346.0,15920.0,780.164089
2004.0,706.0,780.164089,362.3983402,61.376456876456814,4.0,49.0,211.0,103.0,363.0,19788.0,806.7291588
2005.0,715.0,806.7291588,394.659751,62.498834498834185,3.0,43.0,232.0,123.0,398.0,22508.0,833.2942286
2006.0,726.0,833.2942286,426.9211618,63.62121212121201,3.0,36.0,264.0,132.0,431.0,25012.0,810.0
2007.0,736.0,810.0,616.0,65.0,3.0,34.0,307.0,143.0,483.0,28008.0,882.0
2008.0,742.0,882.0,624.0,66.0,3.0134932533733263,32.0,304.0,182.0,518.0,31400.0,913.0
2009.0,746.0,913.0,630.0,66.0,3.0,30.0,314.0,206.0,550.0,36088.0,937.0
2010.0,751.0,937.0,633.0,66.0,3.0,28.0,330.0,231.0,589.0,40260.0,1047.0
2011.0,757.0,1047.0,638.0,71.0,3.0,26.0,336.0,247.0,609.0,45564.0,1052.0
2012.0,763.0,1052.0,642.0,71.0,3.0,25.0,427.0,242.0,694.0,51656.0,1055.0
2013.0,1246.0,1055.0,648.0,72.0,2.0,25.0,426.0,244.0,695.0,57620.0,1058.0
2014.0,764.0,1058.0,654.0,73.0,2.0,25.0,420.0,249.0,693.0,60528.0,1060.0
2015.0,770.0,1060.0,661.0,74.0,2.215892053973022,24.0,415.0,253.0,691.0,66956.0,1062.0
2016.0,2049.0,1062.0,667.0,75.0,2.0,24.0,412.0,256.0,691.0,72288.0,1065.0
2017.0,940.7648351648386,1065.0,678.0,76.0,2.0,24.0,412.0,256.0,691.0,79868.0,1068.0
2018.0,2344.0,1068.0,691.0,76.0,2.0,22.0,406.0,265.0,692.0,87348.0,1072.0
2019.0,2520.0,1072.0,704.0,76.0,1.7601199400299947,21.0,404.0,268.0,693.0,94420.0,1271.0
2020.0,996.0439560439554,1271.0,723.0,82.0,2.0,19.0,384.0,344.0,748.0,105572.0,1275.0
2021.0,1014.47032967033,1275.0,744.0,82.0,2.0,18.0,386.0,345.0,749.0,113744.0,
2022.0,0.0,1258.335345,943.1037344,82.0,1.4182908545727173,5.34558823529369,550.2279411764684,351.20588235294053,905.742647058818,120571.73533821106,
