年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,ruralincome_polynomial_predicted,cityincome,wage2022,target
2000.0,0.0,492.3327046,191.5073557,14.72843822843788,3.5380041788754144,129.3117647058816,63.0823529411764,89.44264705882352,281.9764705882353,0.0,0.0,,506.0
2001.0,597.0,506.0,0.0,17.336829836829565,3.185921623795128,127.07499999999982,66.47500000000036,89.22500000000002,282.89999999999986,0.0,0.0,6812.0,490.5884572
2002.0,600.0,490.5884572,249.1150509,19.94522144522125,3.406236631917076,137.0,49.0,81.0,266.0,0.0,0.0,7940.0,489.7163335
2003.0,605.0,489.7163335,277.9188985,22.55361305361293,3.5285792066372834,129.0,54.0,84.0,267.0,0.0,0.0,8700.0,488.8442097
2004.0,609.0,488.8442097,306.7227461,25.16200466200462,3.4601965503068253,119.0,60.0,89.0,268.0,0.0,0.0,9284.0,487.972086
2005.0,613.0,487.972086,335.5265937,27.770396270396304,3.272368421052632,111.0,72.0,84.0,268.0,0.0,0.0,10336.0,487.0999623
2006.0,619.0,487.0999623,364.3304413,30.37878787878799,3.2015037593984967,110.0,91.0,88.0,289.0,0.0,0.0,12112.0,489.0
2007.0,621.0,489.0,529.0,32.0,3.0845864661654137,115.0,95.0,92.0,303.0,0.0,0.0,14048.0,481.0
2008.0,625.0,481.0,532.0,34.0,2.989076890126366,103.0,112.0,95.0,310.0,0.0,0.0,16848.0,475.0
2009.0,632.0,475.0,535.0,36.0,3.04812030075188,101.0,121.0,96.0,318.0,0.0,0.0,19984.0,473.0
2010.0,639.0,473.0,541.0,38.0,2.923697739892848,99.0,134.0,99.0,333.0,0.0,0.0,23808.0,472.0
2011.0,649.0,472.0,546.0,48.0,2.7523262136379576,97.0,145.0,109.0,351.0,7195.194805055857,15356.0909088701,27612.0,477.0
2012.0,655.0,477.0,555.0,50.0,2.6176986567887663,114.0,90.0,73.0,276.0,8435.809523701668,16990.0,31992.0,480.0
2013.0,565.0,480.0,560.0,51.0,2.443609022556391,111.0,92.0,74.0,276.0,9715.714285641909,18845.0,35900.0,482.0
2014.0,681.0,482.0,572.0,52.0,2.311827341846903,105.0,97.0,77.0,279.0,10700.0,20395.0,43244.0,484.0
2015.0,687.0,484.0,581.0,54.0,2.279365580367711,100.0,99.0,83.0,282.0,12772.0,22230.0,47392.0,485.0
2016.0,2072.0,485.0,586.0,56.0,2.2485255038015795,89.0,107.0,87.0,283.0,13928.0,24085.0,52160.0,488.0
2017.0,655.7582417582416,488.0,592.0,58.0,2.192105263157895,89.0,107.0,87.0,283.0,15268.0,26115.0,55844.0,491.0
2018.0,2293.0,491.0,591.0,59.0,2.147368421052632,84.0,101.0,97.0,283.0,16636.0,28280.0,59740.0,493.0
2019.0,2389.0,493.0,591.0,60.0,2.075266314211316,83.0,97.0,102.0,281.0,18120.0,30610.0,65088.0,497.0
2020.0,666.3736263736264,497.0,592.0,61.0,2.048191239264981,74.0,93.0,116.0,283.0,19464.0,32015.0,73061.26434469223,499.0
2021.0,669.9120879120874,499.0,592.0,62.0,2.0943922305764406,70.0,94.0,116.0,280.0,21576.0,35055.0,78696.0,
2022.0,0.0,473.1459826,825.192003,63.0,2.037419285913954,80.10294117647027,137.7205882352946,84.65441176470591,302.2941176470588,23056.0,36755.0,86345.58837413788,
