年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,wage2022,target
2000.0,0.0,453.1290079,457.3857809,39.609557109557045,5.183333333333337,55.51190476190459,94.77857142857192,72.16666666666652,237.2607607378612,,459.0
2001.0,679.0,459.0,457.5815851,41.17249417249423,4.958333333333314,54.79404761904743,97.26071428571412,74.11666666666633,245.1294015508299,9732.0,452.2485854
2002.0,680.0,452.2485854,457.7773893,42.735431235431406,4.7333333333333485,54.07619047619028,99.74285714285725,76.0666666666666,251.17083440369143,10760.0,451.8083742
2003.0,682.0,451.8083742,457.9731935,44.29836829836859,5.0,65.0,79.0,75.0,250.5406593406593,12004.0,451.368163
2004.0,684.0,451.368163,458.1689977,45.86130536130531,5.0,58.0,90.0,76.0,262.22857142857146,13800.0,450.9279517
2005.0,685.0,450.9279517,458.3648019,47.42424242424249,4.0,53.0,97.0,78.0,270.2142857142857,15732.0,450.4877405
2006.0,688.0,450.4877405,458.5606061,49.0,4.0,50.0,105.0,81.0,288.95714285714286,18160.0,446.0
2007.0,691.0,446.0,459.0,50.0,3.0,47.0,112.0,84.0,299.4,20844.0,446.0
2008.0,692.0,446.0,459.0,51.0,3.0,45.0,128.0,86.0,310.6428571428572,24284.0,447.0
2009.0,693.0,447.0,460.0,53.0,3.0,43.0,136.0,94.0,321.45714285714286,27320.0,450.0
2010.0,692.0,450.0,459.0,57.0,3.0,40.0,145.0,101.0,328.6142857142857,30604.0,446.0
2011.0,697.0,446.0,459.0,58.0,2.0,39.0,152.0,107.0,336.95714285714286,35432.0,446.0
2012.0,698.0,446.0,460.0,59.0,2.0,35.0,156.0,112.0,339.1714285714286,40284.0,447.0
2013.0,696.0,447.0,458.0,60.0,2.0,53.0,121.0,92.0,343.01428571428573,47796.0,447.0
2014.0,643.0,447.0,460.0,61.0,2.0,52.0,121.0,93.0,348.6142857142857,52656.0,448.0
2015.0,700.0,448.0,461.0,63.0,2.0,51.0,118.0,97.0,350.74285714285713,57140.0,448.0
2016.0,699.0,448.0,461.0,64.0,2.0,48.0,118.0,98.0,352.8857142857143,63888.0,449.0
2017.0,2808.0,449.0,462.0,66.0,2.0,46.0,116.0,101.0,355.1857142857143,67608.0,451.0
2018.0,690.1309523809524,451.0,460.0,67.0,2.0,46.0,116.0,101.0,358.25714285714287,71660.0,453.0
2019.0,2936.0,453.0,459.0,69.0,2.0,39.0,120.0,107.0,362.7142857142857,75996.0,455.0
2020.0,2960.0,455.0,457.0,71.0,2.0,37.0,115.0,116.0,383.5017268445839,81836.0,456.0
2021.0,691.1702380952381,456.0,455.0,71.0,0.4583333333333144,41.0,103.0,128.0,372.8414442700157,87872.0,
2022.0,0.0,443.4443606,461.6934732,73.99417249417274,3.0,39.719047619047615,149.38571428571413,115.0666666666666,413.9764577859114,96530.52029919624,
