年份,pi_Employment,si_Employment,ti_Employment
2000,55.94444444444444,36.333333333333336,50.388888888888886
2001,55.94444444444444,36.333333333333336,50.388888888888886
2002,55.94444444444444,36.333333333333336,50.388888888888886
2003,73.0,29.0,40.0
2004,73.0,30.0,39.0
2005,69.0,32.0,41.0
2006,67.0,33.0,43.0
2007,65.0,35.0,45.0
2008,61.0,35.0,51.0
2009,63.0,37.0,50.0
2010,58.0,34.0,46.0
2011,57.0,34.0,47.0
2012,55.0,35.0,49.0
2013,54.0,36.0,51.0
2014,52.0,37.0,52.0
2015,52.0,37.0,53.0
2016,50.0,37.0,55.0
2017,50.0,37.0,57.0
2018,48.0,40.0,57.0
2019,46.0,45.0,54.0
2020,55.94444444444444,36.333333333333336,50.388888888888886
2021,14.0,51.0,77.0
2022,55.94444444444444,36.333333333333336,50.388888888888886
