年份,pi_Employment,si_Employment,ti_Employment
2000,31.1,337.3,214.3
2001,31.1,337.3,214.3
2002,62.0,161.0,101.0
2003,55.0,195.0,96.0
2004,49.0,211.0,103.0
2005,43.0,232.0,123.0
2006,36.0,264.0,132.0
2007,34.0,307.0,143.0
2008,32.0,304.0,182.0
2009,30.0,314.0,206.0
2010,28.0,330.0,231.0
2011,26.0,336.0,247.0
2012,25.0,427.0,242.0
2013,25.0,426.0,244.0
2014,25.0,420.0,249.0
2015,24.0,415.0,253.0
2016,24.0,412.0,256.0
2017,24.0,412.0,256.0
2018,22.0,406.0,265.0
2019,21.0,404.0,268.0
2020,19.0,384.0,344.0
2021,18.0,386.0,345.0
2022,31.1,337.3,214.3
