年份,pi_Employment,si_Employment,ti_Employment
2000,67.375,27.0625,40.1875
2001,67.375,27.0625,40.1875
2002,67.375,27.0625,40.1875
2003,67.375,27.0625,40.1875
2004,67.375,27.0625,40.1875
2005,67.375,27.0625,40.1875
2006,73.0,22.0,26.0
2007,75.0,24.0,28.0
2008,78.0,26.0,26.0
2009,76.0,27.0,28.0
2010,73.0,28.0,33.0
2011,72.0,29.0,34.0
2012,73.0,30.0,34.0
2013,70.0,30.0,36.0
2014,69.0,27.0,39.0
2015,70.0,27.0,39.0
2016,71.0,27.0,40.0
2017,71.0,28.0,43.0
2018,70.0,25.0,44.0
2019,70.0,25.0,48.0
2020,34.0,29.0,72.0
2021,33.0,29.0,73.0
2022,67.375,27.0625,40.1875
