年份,pi_Employment,si_Employment,ti_Employment
2000,0.0,56.23529411764706,66.58823529411765
2001,0.0,56.23529411764706,66.58823529411765
2002,0.0,56.23529411764706,66.58823529411765
2003,0.0,56.23529411764706,66.58823529411765
2004,0.0,38.0,42.0
2005,0.0,39.0,41.0
2006,0.0,46.0,52.0
2007,0.0,49.0,52.0
2008,0.0,57.0,61.0
2009,0.0,58.0,63.0
2010,0.0,56.0,67.0
2011,0.0,62.0,66.0
2012,0.0,61.0,72.0
2013,0.0,69.0,72.0
2014,0.0,72.0,76.0
2015,0.0,67.0,75.0
2016,0.0,57.0,75.0
2017,0.0,58.0,78.0
2018,0.0,54.0,77.0
2019,0.0,55.0,75.0
2020,0.0,58.0,88.0
2021,0.0,56.23529411764706,66.58823529411765
2022,0.0,56.23529411764706,66.58823529411765
