年份,pi_Employment,si_Employment,ti_Employment
2000,24.25,248.8125,178.6875
2001,24.25,248.8125,178.6875
2002,24.25,248.8125,178.6875
2003,24.25,248.8125,178.6875
2004,24.25,248.8125,178.6875
2005,24.25,248.8125,178.6875
2006,29.0,197.0,125.0
2007,28.0,203.0,128.0
2008,28.0,197.0,137.0
2009,27.0,206.0,148.0
2010,26.0,264.0,153.0
2011,26.0,265.0,154.0
2012,27.0,258.0,152.0
2013,25.0,257.0,156.0
2014,22.0,257.0,159.0
2015,22.0,253.0,164.0
2016,22.0,252.0,165.0
2017,21.0,247.0,167.0
2018,19.0,264.0,247.0
2019,21.0,263.0,248.0
2020,23.0,297.0,279.0
2021,22.0,301.0,277.0
2022,24.25,248.8125,178.6875
