年份,pi_Employment,si_Employment,ti_Employment
2000,0.4117647058823529,77.05882352941177,56.05882352941177
2001,0.4117647058823529,77.05882352941177,56.05882352941177
2002,0.4117647058823529,77.05882352941177,56.05882352941177
2003,0.4117647058823529,77.05882352941177,56.05882352941177
2004,1.0,64.0,42.0
2005,1.0,73.0,42.0
2006,1.0,80.0,44.0
2007,1.0,85.0,44.0
2008,1.0,84.0,46.0
2009,0.0,80.0,46.0
2010,1.0,75.0,47.0
2011,1.0,76.0,48.0
2012,0.0,78.0,50.0
2013,0.0,77.0,52.0
2014,0.0,87.0,60.0
2015,0.0,84.0,66.0
2016,0.0,83.0,67.0
2017,0.0,77.0,68.0
2018,0.0,75.0,71.0
2019,0.0,70.0,75.0
2020,0.0,62.0,85.0
2021,0.4117647058823529,77.05882352941177,56.05882352941177
2022,0.4117647058823529,77.05882352941177,56.05882352941177
