年份,pi_Employment,si_Employment,ti_Employment
2000,78.11764705882354,245.94117647058823,218.23529411764707
2001,78.11764705882354,245.94117647058823,218.23529411764707
2002,78.11764705882354,245.94117647058823,218.23529411764707
2003,78.11764705882354,245.94117647058823,218.23529411764707
2004,125.0,143.0,177.0
2005,103.0,192.0,153.0
2006,102.0,193.0,193.0
2007,82.0,236.0,191.0
2008,92.0,241.0,184.0
2009,81.0,261.0,195.0
2010,86.0,262.0,198.0
2011,75.0,273.0,210.0
2012,73.0,229.0,274.0
2013,67.0,245.0,265.0
2014,67.0,248.0,260.0
2015,64.0,277.0,227.0
2016,64.0,284.0,227.0
2017,62.0,276.0,236.0
2018,62.0,276.0,237.0
2019,62.0,275.0,238.0
2020,61.0,270.0,245.0
2021,78.11764705882354,245.94117647058823,218.23529411764707
2022,78.11764705882354,245.94117647058823,218.23529411764707
