年份,pi_Employment,si_Employment,ti_Employment
2000,59.666666666666664,29.266666666666666,51.266666666666666
2001,59.666666666666664,29.266666666666666,51.266666666666666
2002,59.666666666666664,29.266666666666666,51.266666666666666
2003,59.666666666666664,29.266666666666666,51.266666666666666
2004,59.666666666666664,29.266666666666666,51.266666666666666
2005,59.666666666666664,29.266666666666666,51.266666666666666
2006,59.666666666666664,29.266666666666666,51.266666666666666
2007,72.0,25.0,42.0
2008,71.0,26.0,43.0
2009,64.0,29.0,47.0
2010,62.0,31.0,50.0
2011,61.0,30.0,51.0
2012,60.0,31.0,51.0
2013,59.0,31.0,53.0
2014,59.0,32.0,52.0
2015,59.0,33.0,53.0
2016,59.0,32.0,53.0
2017,59.0,32.0,54.0
2018,59.0,32.0,54.0
2019,59.0,25.0,50.0
2020,59.0,25.0,50.0
2021,33.0,25.0,66.0
2022,59.666666666666664,29.266666666666666,51.266666666666666
