年份,pi_Employment,si_Employment,ti_Employment
2000,107.10526315789474,199.94736842105263,146.68421052631578
2001,107.10526315789474,199.94736842105263,146.68421052631578
2002,107.10526315789474,199.94736842105263,146.68421052631578
2003,185.0,140.0,71.0
2004,172.0,160.0,99.0
2005,158.0,171.0,103.0
2006,134.0,178.0,132.0
2007,108.0,191.0,150.0
2008,97.0,204.0,156.0
2009,90.0,201.0,163.0
2010,85.0,207.0,169.0
2011,81.0,216.0,167.0
2012,76.0,216.0,173.0
2013,115.0,214.0,140.0
2014,107.0,217.0,143.0
2015,102.0,216.0,144.0
2016,97.0,215.0,148.0
2017,96.0,213.0,149.0
2018,96.0,213.0,149.0
2019,84.0,212.0,160.0
2020,80.0,211.0,161.0
2021,72.0,204.0,210.0
2022,107.10526315789474,199.94736842105263,146.68421052631578
