年份,pi_Employment,si_Employment,ti_Employment
2000,107.53333333333333,53.333333333333336,60.333333333333336
2001,107.53333333333333,53.333333333333336,60.333333333333336
2002,107.53333333333333,53.333333333333336,60.333333333333336
2003,107.53333333333333,53.333333333333336,60.333333333333336
2004,107.53333333333333,53.333333333333336,60.333333333333336
2005,107.53333333333333,53.333333333333336,60.333333333333336
2006,107.53333333333333,53.333333333333336,60.333333333333336
2007,107.0,55.0,55.0
2008,108.0,56.0,57.0
2009,116.0,60.0,63.0
2010,115.0,58.0,63.0
2011,119.0,49.0,45.0
2012,117.0,52.0,46.0
2013,116.0,52.0,47.0
2014,116.0,52.0,48.0
2015,114.0,54.0,50.0
2016,112.0,55.0,51.0
2017,106.0,57.0,57.0
2018,107.0,57.0,58.0
2019,105.0,48.0,83.0
2020,104.0,49.0,78.0
2021,51.0,46.0,104.0
2022,107.53333333333333,53.333333333333336,60.333333333333336
