年份,pi_Employment,si_Employment,ti_Employment
2000,64.6,100.53333333333333,68.33333333333333
2001,64.6,100.53333333333333,68.33333333333333
2002,64.6,100.53333333333333,68.33333333333333
2003,64.6,100.53333333333333,68.33333333333333
2004,64.6,100.53333333333333,68.33333333333333
2005,64.6,100.53333333333333,68.33333333333333
2006,64.6,100.53333333333333,68.33333333333333
2007,71.0,68.0,43.0
2008,71.0,71.0,45.0
2009,70.0,105.0,63.0
2010,71.0,108.0,65.0
2011,71.0,104.0,63.0
2012,70.0,105.0,64.0
2013,69.0,107.0,63.0
2014,65.0,110.0,65.0
2015,65.0,108.0,65.0
2016,64.0,109.0,65.0
2017,63.0,109.0,67.0
2018,62.0,108.0,69.0
2019,60.0,98.0,89.0
2020,60.0,101.0,87.0
2021,37.0,97.0,112.0
2022,64.6,100.53333333333333,68.33333333333333
