年份,pi_Employment,si_Employment,ti_Employment
2000,33.5,172.66666666666666,95.33333333333333
2001,33.5,172.66666666666666,95.33333333333333
2002,33.5,172.66666666666666,95.33333333333333
2003,49.0,100.0,51.0
2004,44.0,98.0,60.0
2005,42.0,144.0,54.0
2006,42.0,167.0,66.0
2007,39.0,181.0,69.0
2008,37.0,177.0,80.0
2009,36.0,187.0,85.0
2010,35.0,193.0,89.0
2011,34.0,197.0,91.0
2012,32.0,198.0,97.0
2013,32.0,194.0,102.0
2014,31.0,193.0,108.0
2015,30.0,186.0,113.0
2016,29.0,183.0,118.0
2017,28.0,181.0,124.0
2018,27.0,180.0,129.0
2019,25.0,176.0,134.0
2020,33.5,172.66666666666666,95.33333333333333
2021,11.0,173.0,146.0
2022,33.5,172.66666666666666,95.33333333333333
