年份,pi_Employment,si_Employment,ti_Employment
2000,143.375,65.3125,86.9375
2001,143.375,65.3125,86.9375
2002,143.375,65.3125,86.9375
2003,143.375,65.3125,86.9375
2004,143.375,65.3125,86.9375
2005,143.375,65.3125,86.9375
2006,171.0,68.0,64.0
2007,171.0,81.0,62.0
2008,184.0,81.0,67.0
2009,184.0,88.0,75.0
2010,149.0,58.0,67.0
2011,149.0,56.0,71.0
2012,147.0,57.0,74.0
2013,145.0,60.0,76.0
2014,142.0,61.0,78.0
2015,142.0,62.0,78.0
2016,142.0,62.0,79.0
2017,140.0,64.0,81.0
2018,136.0,62.0,129.0
2019,136.0,62.0,126.0
2020,79.0,61.0,131.0
2021,77.0,62.0,133.0
2022,143.375,65.3125,86.9375
