年份,pi_Employment,si_Employment,ti_Employment
2000,82.6470588235294,163.47058823529412,139.05882352941177
2001,82.6470588235294,163.47058823529412,139.05882352941177
2002,82.6470588235294,163.47058823529412,139.05882352941177
2003,82.6470588235294,163.47058823529412,139.05882352941177
2004,122.0,127.0,109.0
2005,106.0,137.0,121.0
2006,104.0,140.0,125.0
2007,101.0,143.0,126.0
2008,89.0,153.0,132.0
2009,84.0,157.0,134.0
2010,78.0,162.0,138.0
2011,75.0,160.0,132.0
2012,76.0,162.0,133.0
2013,75.0,171.0,143.0
2014,75.0,175.0,147.0
2015,74.0,179.0,150.0
2016,72.0,182.0,153.0
2017,70.0,181.0,152.0
2018,69.0,182.0,155.0
2019,68.0,184.0,156.0
2020,67.0,184.0,158.0
2021,82.6470588235294,163.47058823529412,139.05882352941177
2022,82.6470588235294,163.47058823529412,139.05882352941177
