年份,pi_Employment,si_Employment,ti_Employment
2000,75.76470588235294,256.52941176470586,270.6470588235294
2001,75.76470588235294,256.52941176470586,270.6470588235294
2002,75.76470588235294,256.52941176470586,270.6470588235294
2003,75.76470588235294,256.52941176470586,270.6470588235294
2004,102.0,182.0,166.0
2005,93.0,198.0,165.0
2006,92.0,222.0,167.0
2007,87.0,235.0,191.0
2008,84.0,245.0,204.0
2009,80.0,264.0,225.0
2010,80.0,278.0,239.0
2011,76.0,286.0,264.0
2012,72.0,289.0,276.0
2013,70.0,290.0,284.0
2014,70.0,292.0,289.0
2015,66.0,287.0,302.0
2016,67.0,272.0,324.0
2017,66.0,262.0,349.0
2018,66.0,258.0,357.0
2019,60.0,244.0,392.0
2020,57.0,257.0,407.0
2021,75.76470588235294,256.52941176470586,270.6470588235294
2022,75.76470588235294,256.52941176470586,270.6470588235294
