年份,pi_Employment,si_Employment,ti_Employment
2000,45.89473684210526,143.73684210526315,215.57894736842104
2001,45.89473684210526,143.73684210526315,215.57894736842104
2002,45.89473684210526,143.73684210526315,215.57894736842104
2003,58.0,93.0,119.0
2004,52.0,101.0,128.0
2005,45.0,101.0,138.0
2006,43.0,132.0,143.0
2007,37.0,139.0,151.0
2008,45.0,153.0,169.0
2009,46.0,153.0,181.0
2010,46.0,169.0,193.0
2011,51.0,175.0,232.0
2012,44.0,176.0,248.0
2013,49.0,151.0,252.0
2014,49.0,150.0,254.0
2015,47.0,150.0,256.0
2016,47.0,149.0,260.0
2017,46.0,149.0,261.0
2018,46.0,149.0,261.0
2019,43.0,146.0,274.0
2020,40.0,145.0,280.0
2021,38.0,150.0,296.0
2022,45.89473684210526,143.73684210526315,215.57894736842104
