年份,pi_Employment,si_Employment,ti_Employment
2000,11.777777777777779,26.166666666666668,29.444444444444443
2001,11.777777777777779,26.166666666666668,29.444444444444443
2002,11.777777777777779,26.166666666666668,29.444444444444443
2003,19.0,18.0,17.0
2004,16.0,19.0,21.0
2005,14.0,20.0,22.0
2006,13.0,21.0,22.0
2007,12.0,21.0,25.0
2008,11.0,27.0,26.0
2009,11.0,28.0,27.0
2010,11.0,26.0,29.0
2011,11.0,26.0,32.0
2012,10.0,25.0,37.0
2013,11.0,31.0,31.0
2014,10.0,30.0,34.0
2015,11.0,30.0,34.0
2016,11.0,30.0,34.0
2017,11.0,29.0,35.0
2018,11.0,29.0,35.0
2019,11.0,29.0,36.0
2020,11.777777777777779,26.166666666666668,29.444444444444443
2021,8.0,32.0,33.0
2022,11.777777777777779,26.166666666666668,29.444444444444443
