年份,pi_Employment,si_Employment,ti_Employment
2000,195.86666666666667,48.53333333333333,91.86666666666666
2001,195.86666666666667,48.53333333333333,91.86666666666666
2002,195.86666666666667,48.53333333333333,91.86666666666666
2003,195.86666666666667,48.53333333333333,91.86666666666666
2004,195.86666666666667,48.53333333333333,91.86666666666666
2005,195.86666666666667,48.53333333333333,91.86666666666666
2006,195.86666666666667,48.53333333333333,91.86666666666666
2007,209.0,37.0,66.0
2008,211.0,35.0,66.0
2009,206.0,39.0,68.0
2010,196.0,42.0,74.0
2011,202.0,42.0,76.0
2012,204.0,47.0,78.0
2013,203.0,48.0,81.0
2014,202.0,51.0,83.0
2015,205.0,51.0,85.0
2016,204.0,52.0,86.0
2017,205.0,52.0,87.0
2018,205.0,52.0,87.0
2019,196.0,52.0,147.0
2020,193.0,53.0,145.0
2021,97.0,75.0,149.0
2022,195.86666666666667,48.53333333333333,91.86666666666666
