年份,pi_Employment,si_Employment,ti_Employment
2000,76.6,94.53333333333333,75.66666666666667
2001,76.6,94.53333333333333,75.66666666666667
2002,76.6,94.53333333333333,75.66666666666667
2003,76.6,94.53333333333333,75.66666666666667
2004,76.6,94.53333333333333,75.66666666666667
2005,76.6,94.53333333333333,75.66666666666667
2006,76.6,94.53333333333333,75.66666666666667
2007,85.0,81.0,55.0
2008,86.0,89.0,58.0
2009,80.0,93.0,60.0
2010,82.0,91.0,60.0
2011,78.0,106.0,66.0
2012,77.0,110.0,66.0
2013,76.0,105.0,67.0
2014,79.0,100.0,66.0
2015,81.0,96.0,66.0
2016,79.0,96.0,68.0
2017,79.0,96.0,69.0
2018,79.0,97.0,69.0
2019,78.0,87.0,116.0
2020,78.0,87.0,108.0
2021,32.0,84.0,141.0
2022,76.6,94.53333333333333,75.66666666666667
