年份,pi_Employment,si_Employment,ti_Employment
2000,76.05882352941177,152.23529411764707,107.3529411764706
2001,76.05882352941177,152.23529411764707,107.3529411764706
2002,76.05882352941177,152.23529411764707,107.3529411764706
2003,76.05882352941177,152.23529411764707,107.3529411764706
2004,102.0,123.0,80.0
2005,98.0,128.0,89.0
2006,93.0,128.0,91.0
2007,83.0,138.0,96.0
2008,77.0,146.0,103.0
2009,76.0,146.0,105.0
2010,75.0,149.0,106.0
2011,72.0,167.0,107.0
2012,71.0,160.0,112.0
2013,68.0,162.0,113.0
2014,68.0,163.0,114.0
2015,68.0,164.0,114.0
2016,68.0,163.0,115.0
2017,68.0,163.0,116.0
2018,68.0,162.0,119.0
2019,69.0,164.0,121.0
2020,69.0,162.0,124.0
2021,76.05882352941177,152.23529411764707,107.3529411764706
2022,76.05882352941177,152.23529411764707,107.3529411764706
