年份,pi_Employment,si_Employment,ti_Employment
2000,31.263157894736842,140.21052631578948,98.21052631578948
2001,31.263157894736842,140.21052631578948,98.21052631578948
2002,31.263157894736842,140.21052631578948,98.21052631578948
2003,46.0,88.0,57.0
2004,39.0,99.0,62.0
2005,35.0,115.0,68.0
2006,33.0,129.0,80.0
2007,31.0,140.0,85.0
2008,30.0,151.0,90.0
2009,30.0,163.0,98.0
2010,29.0,170.0,104.0
2011,28.0,180.0,116.0
2012,22.0,153.0,102.0
2013,32.0,148.0,101.0
2014,32.0,147.0,102.0
2015,31.0,146.0,104.0
2016,31.0,144.0,107.0
2017,30.0,142.0,109.0
2018,30.0,142.0,109.0
2019,29.0,137.0,115.0
2020,29.0,137.0,116.0
2021,27.0,133.0,141.0
2022,31.263157894736842,140.21052631578948,98.21052631578948
