年份,pi_Employment,si_Employment,ti_Employment
2000,0.11764705882352941,21.705882352941178,16.941176470588236
2001,0.11764705882352941,21.705882352941178,16.941176470588236
2002,0.11764705882352941,21.705882352941178,16.941176470588236
2003,0.11764705882352941,21.705882352941178,16.941176470588236
2004,1.0,16.0,15.0
2005,1.0,16.0,16.0
2006,0.0,20.0,15.0
2007,0.0,20.0,15.0
2008,0.0,19.0,15.0
2009,0.0,19.0,16.0
2010,0.0,18.0,16.0
2011,0.0,19.0,17.0
2012,0.0,23.0,15.0
2013,0.0,25.0,16.0
2014,0.0,32.0,19.0
2015,0.0,29.0,19.0
2016,0.0,28.0,19.0
2017,0.0,26.0,19.0
2018,0.0,24.0,19.0
2019,0.0,19.0,18.0
2020,0.0,16.0,19.0
2021,0.11764705882352941,21.705882352941178,16.941176470588236
2022,0.11764705882352941,21.705882352941178,16.941176470588236
