年份,pi_Employment,si_Employment,ti_Employment
2000,54.470588235294116,37.529411764705884,38.588235294117645
2001,54.470588235294116,37.529411764705884,38.588235294117645
2002,54.470588235294116,37.529411764705884,38.588235294117645
2003,54.470588235294116,37.529411764705884,38.588235294117645
2004,62.0,30.0,28.0
2005,61.0,33.0,30.0
2006,60.0,34.0,31.0
2007,58.0,38.0,33.0
2008,57.0,38.0,35.0
2009,57.0,38.0,37.0
2010,56.0,39.0,39.0
2011,55.0,37.0,36.0
2012,54.0,39.0,38.0
2013,53.0,40.0,40.0
2014,53.0,40.0,40.0
2015,53.0,30.0,51.0
2016,51.0,39.0,40.0
2017,50.0,40.0,43.0
2018,50.0,40.0,44.0
2019,49.0,40.0,46.0
2020,47.0,43.0,45.0
2021,54.470588235294116,37.529411764705884,38.588235294117645
2022,54.470588235294116,37.529411764705884,38.588235294117645
