年份,pi_Employment,si_Employment,ti_Employment
2000,46.73684210526316,118.3157894736842,96.15789473684211
2001,46.73684210526316,118.3157894736842,96.15789473684211
2002,46.73684210526316,118.3157894736842,96.15789473684211
2003,65.0,79.0,75.0
2004,58.0,90.0,76.0
2005,53.0,97.0,78.0
2006,50.0,105.0,81.0
2007,47.0,112.0,84.0
2008,45.0,128.0,86.0
2009,43.0,136.0,94.0
2010,40.0,145.0,101.0
2011,39.0,152.0,107.0
2012,35.0,156.0,112.0
2013,53.0,121.0,92.0
2014,52.0,121.0,93.0
2015,51.0,118.0,97.0
2016,48.0,118.0,98.0
2017,46.0,116.0,101.0
2018,46.0,116.0,101.0
2019,39.0,120.0,107.0
2020,37.0,115.0,116.0
2021,41.0,103.0,128.0
2022,46.73684210526316,118.3157894736842,96.15789473684211
