年份,pi_Employment,si_Employment,ti_Employment
2000,0.0,45.470588235294116,24.0
2001,0.0,45.470588235294116,24.0
2002,0.0,45.470588235294116,24.0
2003,0.0,45.470588235294116,24.0
2004,0.0,29.0,18.0
2005,0.0,29.0,18.0
2006,0.0,38.0,19.0
2007,0.0,39.0,18.0
2008,0.0,38.0,19.0
2009,0.0,39.0,20.0
2010,0.0,40.0,21.0
2011,0.0,41.0,22.0
2012,0.0,47.0,25.0
2013,0.0,51.0,26.0
2014,0.0,65.0,28.0
2015,0.0,63.0,29.0
2016,0.0,59.0,29.0
2017,0.0,55.0,29.0
2018,0.0,52.0,29.0
2019,0.0,49.0,28.0
2020,0.0,39.0,30.0
2021,0.0,45.470588235294116,24.0
2022,0.0,45.470588235294116,24.0
