年份,pi_Employment,si_Employment,ti_Employment
2000,67.06666666666666,275.73333333333335,482.0
2001,67.06666666666666,275.73333333333335,482.0
2002,67.06666666666666,275.73333333333335,482.0
2003,67.06666666666666,275.73333333333335,482.0
2004,67.06666666666666,275.73333333333335,482.0
2005,67.06666666666666,275.73333333333335,482.0
2006,67.06666666666666,275.73333333333335,482.0
2007,84.0,237.0,287.0
2008,82.0,264.0,318.0
2009,80.0,287.0,347.0
2010,80.0,297.0,362.0
2011,59.0,274.0,378.0
2012,63.0,283.0,397.0
2013,65.0,283.0,404.0
2014,65.0,263.0,433.0
2015,60.0,284.0,441.0
2016,63.0,287.0,461.0
2017,62.0,288.0,485.0
2018,62.0,287.0,514.0
2019,60.0,275.0,767.0
2020,62.0,267.0,797.0
2021,59.0,260.0,839.0
2022,67.06666666666666,275.73333333333335,482.0
