年份,pi_Employment,si_Employment,ti_Employment
2000,43.8235294117647,253.35294117647058,180.94117647058823
2001,43.8235294117647,253.35294117647058,180.94117647058823
2002,43.8235294117647,253.35294117647058,180.94117647058823
2003,43.8235294117647,253.35294117647058,180.94117647058823
2004,88.0,198.0,100.0
2005,80.0,201.0,115.0
2006,76.0,213.0,126.0
2007,71.0,224.0,135.0
2008,68.0,229.0,142.0
2009,65.0,233.0,143.0
2010,69.0,239.0,135.0
2011,32.0,266.0,178.0
2012,33.0,274.0,188.0
2013,30.0,275.0,197.0
2014,29.0,274.0,200.0
2015,19.0,273.0,219.0
2016,19.0,271.0,220.0
2017,18.0,272.0,230.0
2018,16.0,275.0,240.0
2019,16.0,271.0,254.0
2020,16.0,319.0,254.0
2021,43.8235294117647,253.35294117647058,180.94117647058823
2022,43.8235294117647,253.35294117647058,180.94117647058823
