年份,pi_Employment,si_Employment,ti_Employment
2000,0.23529411764705882,24.352941176470587,15.176470588235293
2001,0.23529411764705882,24.352941176470587,15.176470588235293
2002,0.23529411764705882,24.352941176470587,15.176470588235293
2003,0.23529411764705882,24.352941176470587,15.176470588235293
2004,0.0,22.0,9.0
2005,0.0,21.0,10.0
2006,0.0,22.0,12.0
2007,0.0,22.0,13.0
2008,0.0,22.0,14.0
2009,1.0,22.0,15.0
2010,1.0,22.0,16.0
2011,1.0,23.0,17.0
2012,1.0,29.0,16.0
2013,0.0,29.0,17.0
2014,0.0,32.0,17.0
2015,0.0,31.0,17.0
2016,0.0,27.0,17.0
2017,0.0,26.0,17.0
2018,0.0,23.0,17.0
2019,0.0,21.0,16.0
2020,0.0,20.0,18.0
2021,0.23529411764705882,24.352941176470587,15.176470588235293
2022,0.23529411764705882,24.352941176470587,15.176470588235293
